NMLSID,Name,Street,City,State,Zip,IsCompany,LoanCount,LOs,LoanVolume_display,LoanVolume_raw
2382283,"NFM, Inc., Ball Ground, GA Branch (NFM Lending)",326 Gilmer Ferry Road,Ball Ground,GA,30107,False,29,0,"$8,868,715",8868715
2382914,"NFM, Inc., Franklin, TN Branch (NFM Lending)",871 Oak Meadow Drive,Franklin,TN,37064,False,58,6,"$22,720,886",22720886
2382920,"NFM, Inc., Hixson, TN Branch (NFM Lending)",6550 Old Dayton Pike,Hixson,TN,37343,False,48,2,"$12,749,541",12749541
2388680,"NFM, Inc., Durant, OK Branch (NFM Lending)",994 Melissa St,Durant,OK,74701,False,0,0,$0,0
2394918,"NFM, Inc., Omaha, NE Branch (NFM Lending)",15812 Redwood St,Omaha,NE,68136,False,0,0,$0,0
2400001,"NFM, Inc., Sunrise, FL Branch (NFM Lending)",1398 SW 160th Ave,Sunrise,FL,33326,False,137,11,"$58,425,679",58425679
2418361,"NFM, Inc., Las Vegas, NV Branch (NFM Lending)",3753 Howard Hughes Parkway,Las Vegas,NV,89169,False,0,0,$0,0
2423651,"NFM, Inc., Midvale, UT Branch (NFM Lending)",7090 South Union Park Avenue,Midvale,UT,84047,False,0,0,$0,0
2431168,"NFM, Inc., Highland Village, TX Branch (NFM Lending)",3000 Village Pkwy,Highland Village,TX,75077,False,0,0,$0,0
2437756,"NFM, Inc., Akron, OH Branch (NFM Lending)",202 Montrose West Avenue,Akron,OH,44321,False,133,2,"$34,725,825",34725825
2444574,"NFM, Inc., Myrtle Beach, SC Branch (NFM Lending)",9261 Hwy 707,Myrtle Beach,SC,29588,False,0,0,$0,0
2444826,"NFM, Inc., Highland Village, TX Branch (NFM Lending)",3000 Village Pkwy,Highland Village,TX,75077,False,125,4,"$44,208,552",44208552
2446298,"NFM, Inc., Savannah, GA Branch (NFM Lending)",100 Bull Street,Savannah,GA,31401,False,115,3,"$31,691,573",31691573
2450860,"NFM, Inc., Collegeville, PA Branch (NFM Lending)",1425 S Collegeville Rd,Collegeville,PA,19426,False,100,2,"$31,330,816",31330816
2472052,"NFM, Inc., Orlando, FL Branch (NFM Lending)",7680 Universal Blvd,Orlando,FL,32819,False,0,0,$0,0
2477059,"NFM, Inc., Wilmington, DE Branch (NFM Lending)",3101 Limestone Road,Wilmington,DE,19808,False,0,0,$0,0
2480113,"NFM, Inc., Rehoboth Beach, DE Branch (NFM Lending)",19330 Lighthouse Plaza Blvd,Rehoboth Beach,DE,19971,False,48,0,"$16,302,684",16302684
2501810,"NFM, Inc., Birmingham, AL Branch (NFM Lending)",1 Chase Corporate Center,Birmingham,AL,35244,False,0,0,$0,0
2511583,"NFM, Inc., Dover, DE Branch (NFM Lending)",584 North DuPont Hwy,Dover,DE,19901,False,0,0,$0,0
2522117,"NFM, Inc., Mt. Holly, NC Branch (NFM Lending)",101 West Central Avenue,Mt. Holly,NC,28120,False,0,0,$0,0
2538966,"NFM, Inc., Madison, GA Branch (NFM Lending)",112 North 1st Street,Madison,GA,30650,False,4,1,"$830,327",830327
2539309,"NFM, Inc., West Chester, PA Branch (NFM Lending)",23 Turner Ln,West Chester,PA,19380,False,160,0,"$53,681,776",53681776
2541307,"NFM, Inc., Towson, MD Branch (NFM Lending)",501 Fairmount Avenue,Towson,MD,21286,False,18,2,"$4,937,389",4937389
2541404,"NFM, Inc., Cherry Hill, NJ Branch (NFM Lending)",1050 N. Kings Hwy,Cherry Hill,NJ,08034,False,59,0,"$16,532,360",16532360
2547323,"NFM, Inc., Columbia, SC Branch (NFM Lending)",4100 W  Beltline Blvd,Columbia,SC,29204,False,13,0,"$3,525,298",3525298
2549957,"NFM, Inc., Marrero, LA Branch (NFM Lending)",2567 Blue Bird Circle,Marrero,LA,70072,False,0,0,$0,0
2551369,"NFM, Inc., Plantation, FL Branch (NFM Lending)",150 S. Pine Island Road,Plantation,FL,33324,False,183,6,"$79,873,580",79873580
2560087,"NFM, Inc., Richmond, TX Branch (NFM Lending)",20819 Winston Lake DR,Richmond,TX,77406,False,34,5,"$12,452,204",12452204
2561162,"NFM, Inc., Gainesville, FL Branch (NFM Lending)",5213 SW 91st Terrace,Gainesville,FL,32608,False,0,0,$0,0
2570962,"NFM, Inc., Orlando, FL Branch (NFM Lending)",2420 Lakemont Ave,Orlando,FL,32814,False,356,7,"$151,748,970",151748970
2571708,"NFM, Inc., Columbus, OH Branch (NFM Lending)",1145 Goodale Blvd,Columbus,OH,43212,False,61,2,"$17,120,638",17120638
2573302,"NFM, Inc., Wolcott, CT Branch (NFM Lending)",12 Center Street,Wolcott,CT,06716,False,25,5,"$6,764,901",6764901
2580147,"NFM, Inc., Spring, TX Branch (NFM Lending)",5501 Louetta Road,Spring,TX,77379,False,76,13,"$22,286,604",22286604
2583521,"NFM, Inc., Cle Elum, WA Branch (NFM Lending)",107 East 1st Street,Cle Elum,WA,98922,False,96,0,"$51,519,868",51519868
2588905,"NFM, Inc., Steamboat Springs, CO Branch (NFM Lending)",155 Anglers Drive,Steamboat Springs,CO,80487,False,126,2,"$52,069,141",52069141
2594126,"NFM, Inc., Buford, GA Branch (NFM Lending)",435 East Main Street,Buford,GA,30518,False,24,2,"$7,764,726",7764726
2595378,"NFM, Inc., Mount Pleasant, WI Branch (NFM Lending)",6218 Washington Ave,Mount Pleasant,WI,53406,False,26,4,"$5,631,901",5631901
2600674,"NFM, Inc., Plano, TX Branch (NFM Lending)",3400 Silverstone Dr,Plano,TX,75023,False,44,5,"$14,662,820",14662820
2617704,"NFM, Inc., Scottsdale, AZ Branch (NFM Lending)",7600 E Doubletree Ranch Rd,Scottsdale,AZ,85258,False,0,1,$0,0
2619003,"NFM, Inc., Bridgeport, CT Branch (NFM Lending)",3850 Main St,Bridgeport,CT,06606,False,65,1,"$18,425,584",18425584
2629005,"NFM, Inc., Marysville, OH Branch (NFM Lending)",1042 Columbus Ave,Marysville,OH,43040,False,34,0,"$9,575,945",9575945
2664440,"NFM, Inc., Chicago, IL Branch (NFM Lending)",10 South Riverside Plaza,Chicago,IL,60606,False,93,6,"$41,868,525",41868525
2668865,"NFM, Inc., Tuscola, TX Branch (NFM Lending)",109 Sand Hill Ct,Tuscola,TX,79562,False,28,0,"$6,438,488",6438488
2678153,"NFM, Inc., Houston, TX Branch (NFM Lending)",11777 Katy Freeway,Houston,TX,77079,False,84,7,"$36,223,023",36223023
2680833,"NFM, Inc., Florence, SC Branch (NFM Lending)",609 Thicket Place,Florence,SC,29501,False,3,1,"$620,582",620582
2681457,"NFM, Inc., Middletown, CT Branch (NFM Lending Partners)",366-386 Main Street,Middletown,CT,06457,False,30,3,"$7,913,081",7913081
2689377,"NFM, Inc., Coeur D'Alene, ID Branch (NFM Lending)",311 Coeur D'Alene Ave,Coeur D'Alene,ID,83814,False,0,4,$0,0
2691231,"NFM, Inc., Fayetteville, NC Branch (NFM Lending)",4140 Ferncreek Drive,Fayetteville,NC,28314,False,16,3,"$4,601,838",4601838
2692980,"NFM, Inc., Redding, CA Branch (NFM Lending)",940 Hilltop Drive,Redding,CA,96003,False,20,4,"$6,071,597",6071597
2696388,"NFM, Inc., Monroe, LA Branch (NFM Lending)",201 Victory Blvd,Monroe,LA,71203,False,1,1,"$165,938",165938
2698966,"NFM, Inc., Katy, TX Branch (NFM Lending)",1526 Katy Gap Rd,Katy,TX,77494,False,21,2,"$5,723,788",5723788
2707755,"NFM, Inc., Racine, WI Branch (NFM Lending)",323 Main St,Racine,WI,53403,False,4,2,"$1,199,395",1199395
2893,"NFM, Inc. (NFM Lending Partners)",1190 Winterson Road,Linthicum,MD,21090,True,"18,673",611,"$7,148,527,848",7148527848
